path,touched_at_runtime,reasons,reachable_from_main,is_src,is_test,is_archive,is_gui,category,package
src/gui/sidebar_panel_v2.py,false,,true,true,false,false,true,A_RUNTIME_CORE,
src/gui/stage_cards_v2/advanced_img2img_stage_card_v2.py,false,,true,true,false,false,true,A_RUNTIME_CORE,
src/gui/stage_cards_v2/advanced_txt2img_stage_card_v2.py,false,,true,true,false,false,true,A_RUNTIME_CORE,
src/gui/stage_cards_v2/advanced_upscale_stage_card_v2.py,false,,true,true,false,false,true,A_RUNTIME_CORE,
src/gui/stage_cards_v2/validation_result.py,false,,true,true,false,false,true,A_RUNTIME_CORE,
src/gui/stage_chooser.py,false,,false,true,false,false,true,B_RUNTIME_ADJACENT,
src/gui/state.py,false,,true,true,false,false,true,A_RUNTIME_CORE,
src/gui/status_bar_v2.py,false,,true,true,false,false,true,A_RUNTIME_CORE,
src/gui/theme.py,false,,true,true,false,false,true,A_RUNTIME_CORE,
src/gui/tooltip.py,false,,true,true,false,false,true,A_RUNTIME_CORE,
src/gui/txt2img_stage_card.py,false,,false,true,false,false,true,B_RUNTIME_ADJACENT,
src/gui/upscale_stage_card.py,false,,false,true,false,false,true,B_RUNTIME_ADJACENT,
src/gui_v2/adapters/__init__.py,false,,false,true,false,false,false,B_RUNTIME_ADJACENT,
src/gui_v2/adapters/learning_adapter_v2.py,false,,true,true,false,false,false,A_RUNTIME_CORE,
src/gui_v2/adapters/pipeline_adapter_v2.py,false,,true,true,false,false,false,A_RUNTIME_CORE,
src/gui_v2/adapters/randomizer_adapter_v2.py,false,,true,true,false,false,false,A_RUNTIME_CORE,
src/gui_v2/adapters/status_adapter_v2.py,false,,true,true,false,false,false,A_RUNTIME_CORE,
src/gui_v2/randomizer_adapter.py,false,,false,true,false,false,false,B_RUNTIME_ADJACENT,
src/gui_v2/validation/__init__.py,false,,false,true,false,false,false,B_RUNTIME_ADJACENT,
src/gui_v2/validation/pipeline_txt2img_validator.py,false,,false,true,false,false,false,B_RUNTIME_ADJACENT,
src/learning/dataset_builder.py,false,,true,true,false,false,false,A_RUNTIME_CORE,
src/learning/feedback_manager.py,false,,false,true,false,false,false,B_RUNTIME_ADJACENT,
src/learning/learning_adapter.py,false,,true,true,false,false,false,A_RUNTIME_CORE,
src/learning/learning_contract.py,false,,false,true,false,false,false,B_RUNTIME_ADJACENT,
src/learning/learning_execution.py,false,,true,true,false,false,false,A_RUNTIME_CORE,
src/learning/learning_feedback.py,false,,false,true,false,false,false,B_RUNTIME_ADJACENT,
src/learning/learning_plan.py,false,,true,true,false,false,false,A_RUNTIME_CORE,
src/learning/learning_profile_sidecar.py,false,,true,true,false,false,false,A_RUNTIME_CORE,
src/learning/learning_record.py,false,,true,true,false,false,false,A_RUNTIME_CORE,
src/learning/learning_record_builder.py,false,,true,true,false,false,false,A_RUNTIME_CORE,
src/learning/learning_runner.py,false,,true,true,false,false,false,A_RUNTIME_CORE,
src/learning/model_profiles.py,false,,true,true,false,false,false,A_RUNTIME_CORE,
src/learning/run_metadata.py,false,,true,true,false,false,false,A_RUNTIME_CORE,
src/main.py,false,,true,true,false,false,true,A_RUNTIME_CORE,
src/pipeline/__init__.py,false,,false,true,false,false,false,B_RUNTIME_ADJACENT,
src/pipeline/executor.py,false,,true,true,false,false,false,A_RUNTIME_CORE,
src/pipeline/pipeline_runner.py,false,,true,true,false,false,false,A_RUNTIME_CORE,
src/pipeline/stage_sequencer.py,false,,true,true,false,false,false,A_RUNTIME_CORE,
src/pipeline/variant_planner.py,false,,true,true,false,false,false,A_RUNTIME_CORE,
src/pipeline/video.py,false,,false,true,false,false,false,B_RUNTIME_ADJACENT,
src/queue/__init__.py,false,,true,true,false,false,false,A_RUNTIME_CORE,
src/queue/job_history_store.py,false,,true,true,false,false,false,A_RUNTIME_CORE,
src/queue/job_model.py,false,,true,true,false,false,false,A_RUNTIME_CORE,
src/queue/job_queue.py,false,,true,true,false,false,false,A_RUNTIME_CORE,
src/queue/single_node_runner.py,false,,true,true,false,false,false,A_RUNTIME_CORE,
src/services/config_service.py,false,,true,true,false,false,false,A_RUNTIME_CORE,
src/utils/__init__.py,false,,true,true,false,false,false,A_RUNTIME_CORE,
src/utils/_extract_name_prefix.py,false,,false,true,false,false,false,B_RUNTIME_ADJACENT,
src/utils/aesthetic.py,false,,false,true,false,false,false,B_RUNTIME_ADJACENT,
src/utils/aesthetic_detection.py,false,,true,true,false,false,false,A_RUNTIME_CORE,
src/utils/config.py,false,,true,true,false,false,false,A_RUNTIME_CORE,
src/utils/file_io.py,false,,true,true,false,false,false,A_RUNTIME_CORE,
src/utils/logger.py,false,,false,true,false,false,false,B_RUNTIME_ADJACENT,
src/utils/preferences.py,false,,true,true,false,false,false,A_RUNTIME_CORE,
src/utils/prompt_pack.py,false,,false,true,false,false,false,B_RUNTIME_ADJACENT,
src/utils/prompt_packs.py,false,,true,true,false,false,false,A_RUNTIME_CORE,
src/utils/randomizer.py,false,,true,true,false,false,false,A_RUNTIME_CORE,
src/utils/state.py,false,,true,true,false,false,false,A_RUNTIME_CORE,
src/utils/webui_discovery.py,false,,true,true,false,false,false,A_RUNTIME_CORE,
src/utils/webui_launcher.py,false,,true,true,false,false,false,A_RUNTIME_CORE,
tests/__init__.py,false,,false,false,true,false,false,C_TEST,
tests/ai_v2/test_local_stub_settings_generator_behavior.py,false,,false,false,true,false,false,C_TEST,
tests/ai_v2/test_settings_generator_adapter_from_learning.py,false,,false,false,true,false,false,C_TEST,
tests/ai_v2/test_settings_generator_contract_roundtrip.py,false,,false,false,true,false,false,C_TEST,
tests/ai_v2/test_settings_suggestion_controller_apply.py,false,,false,false,true,false,false,C_TEST,
tests/api/test_webui_healthcheck.py,false,,false,false,true,false,false,C_TEST,
tests/api/test_webui_process_manager.py,false,,false,false,true,false,false,C_TEST,
tests/app/test_bootstrap_webui_autostart.py,false,,false,false,true,false,false,C_TEST,
tests/cluster/test_worker_model_and_registry.py,false,,false,false,true,false,false,C_TEST,
tests/conftest.py,false,,false,false,true,false,true,C_TEST,
tests/controller/test_app_controller_config.py,false,,false,false,true,false,false,C_TEST,
tests/controller/test_app_controller_packs.py,false,,false,false,true,false,true,C_TEST,
tests/controller/test_app_controller_pipeline_flow_pr0.py,false,,false,false,true,false,true,C_TEST,
tests/controller/test_app_controller_pipeline_integration.py,false,,false,false,true,false,false,C_TEST,
tests/controller/test_cluster_controller.py,false,,false,false,true,false,false,C_TEST,
tests/controller/test_controller_job_lifecycle.py,false,,false,false,true,false,false,C_TEST,
tests/controller/test_controller_learning_toggle.py,false,,false,false,true,false,false,C_TEST,
tests/controller/test_controller_queue_execution.py,false,,false,false,true,false,false,C_TEST,
tests/controller/test_job_history_service.py,false,,false,false,true,false,false,C_TEST,
tests/controller/test_learning_execution_controller_gui_contract.py,false,,false,false,true,false,false,C_TEST,
